# Band Plan for Gqrx
# minFrequency,maxFrequency,modulation,step,color,name
49670000,50000000,NFM,12500,#cc00cc,Cordless Phones
50000000,50100000,CW,10,#009470,6m CW/Data Ham Band
50100000,54000000,USB,10,#009470,6m Ham Band
54000000,60000000,8VSB,6000000,#2e98bb,TV Ch 2
60000000,66000000,8VSB,6000000,#3da8c9,TV Ch 3
66000000,72000000,8VSB,6000000,#2e98bb,TV Ch 4
74800000,75200000,USB,10,#c05017,Aeronautical Radionavigation
76000000,82000000,8VSB,6000000,#3da8c9,TV Ch 5
82000000,88000000,8VSB,6000000,#2e98bb,TV Ch 6
88000000,108000000,WFM,10,#2e98bb,Broadcast Radio
108000000,118000000,AM,5000,#6600ff,Air Band VOR/ILS
118000000,137000000,AM,5000,#0000ff,Air Band Voice
137000000,138000000,NFM,12500,#cc9900,NOAA/Meteor Satellites
138000000,144000000,NFM,12500,#ff0000,Military VHF
144000000,144100000,CW,10,#009470,2m CW/Data Ham Band
144100000,148000000,NFM,10,#009470,2m Ham Band
148000000,150800000,NFM,12500,#ff0000,Military/CAP
150800000,151955000,NFM,12500,#cc00cc,Business/Industrial
151955000,152855000,NFM,12500,#cc00cc,Taxi/Business
152855000,153740000,NFM,12500,#cc00cc,Business Itinerant
153740000,154445000,NFM,12500,#ff6666,Public Safety VHF
154445000,154625000,NFM,12500,#cc00cc,Special Industrial
154625000,155160000,NFM,12500,#ff6666,Public Safety VHF
155160000,156000000,NFM,12500,#cc00cc,Business/Taxi
156000000,157450000,NFM,12500,#000080,Marine VHF (Ship)
157450000,162025000,NFM,12500,#000080,Marine VHF (Coast)
162400000,162550000,NFM,12500,#00cccc,NOAA Weather
163000000,169000000,NFM,12500,#888888,Federal Gov VHF
169000000,170000000,NFM,12500,#cc00cc,Business/Medical
170000000,173200000,NFM,12500,#888888,Federal Gov VHF
173200000,173400000,NFM,12500,#ff6666,Police Mutual Aid
174000000,180000000,8VSB,6000000,#2e98bb,TV Ch 7
180000000,186000000,8VSB,6000000,#3da8c9,TV Ch 8
186000000,192000000,8VSB,6000000,#2e98bb,TV Ch 9
192000000,198000000,8VSB,6000000,#3da8c9,TV Ch 10
198000000,204000000,8VSB,6000000,#2e98bb,TV Ch 11
204000000,210000000,8VSB,6000000,#3da8c9,TV Ch 12
210000000,216000000,8VSB,6000000,#2e98bb,TV Ch 13
216000000,220000000,NFM,12500,#000080,Maritime Mobile
220000000,222000000,NFM,12500,#cc00cc,Business/Land Mobile
222000000,225000000,NFM,10,#009470,1.25m Ham Band
225000000,380000000,NFM,12500,#ff0000,Military Air
240000000,270000000,NFM,12500,#ff0000,Mil Sat
328600000,335400000,USB,10,#c05017,Aeronautical Radionavigation
380000000,400000000,NFM,12500,#ff0000,Military UHF
399900000,400050000,USB,10,#e9eb7c,Radionavigation Satellite
406000000,420000000,NFM,12500,#888888,Federal Gov UHF
420000000,450000000,NFM,10,#009470,70cm Ham Band
420000000,430000000,NFM,12500,#cc00cc,Land Mobile (MI/Border)
440000000,470000000,NFM,12500,#ff6600,UHF Land Mobile/Business
446000000,446200000,NFM,6250,#00ff00,PMR446
462562500,462725000,NFM,10,#00cc66,FRS/GMRS
467550000,467725000,NFM,10,#ff3399,GMRS Repeater Input
470000000,476000000,8VSB,6000000,#2e98bb,TV Ch 14
476000000,482000000,8VSB,6000000,#3da8c9,TV Ch 15
482000000,488000000,8VSB,6000000,#2e98bb,TV Ch 16
488000000,494000000,8VSB,6000000,#3da8c9,TV Ch 17
494000000,500000000,8VSB,6000000,#2e98bb,TV Ch 18
500000000,506000000,8VSB,6000000,#3da8c9,TV Ch 19
506000000,512000000,8VSB,6000000,#2e98bb,TV Ch 20
512000000,518000000,8VSB,6000000,#3da8c9,TV Ch 21
518000000,524000000,8VSB,6000000,#2e98bb,TV Ch 22
524000000,530000000,8VSB,6000000,#3da8c9,TV Ch 23
530000000,536000000,8VSB,6000000,#2e98bb,TV Ch 24
536000000,542000000,8VSB,6000000,#3da8c9,TV Ch 25
542000000,548000000,8VSB,6000000,#2e98bb,TV Ch 26
548000000,554000000,8VSB,6000000,#3da8c9,TV Ch 27
554000000,560000000,8VSB,6000000,#2e98bb,TV Ch 28
560000000,566000000,8VSB,6000000,#3da8c9,TV Ch 29
566000000,572000000,8VSB,6000000,#2e98bb,TV Ch 30
572000000,578000000,8VSB,6000000,#3da8c9,TV Ch 31
578000000,584000000,8VSB,6000000,#2e98bb,TV Ch 32
584000000,590000000,8VSB,6000000,#3da8c9,TV Ch 33
590000000,596000000,8VSB,6000000,#2e98bb,TV Ch 34
596000000,602000000,8VSB,6000000,#3da8c9,TV Ch 35
602000000,608000000,8VSB,6000000,#2e98bb,TV Ch 36
617000000,652000000,NFM,12500,#e066ff,LTE Band 71 DL (600 MHz)
663000000,698000000,NFM,12500,#cc55ff,LTE Band 71 UL (600 MHz)
699000000,716000000,NFM,12500,#e066ff,LTE Band 12/17 UL (Lower 700)
717000000,728000000,NFM,12500,#cc55ff,LTE Band 29 DL (700 SDL)
729000000,746000000,NFM,12500,#e066ff,LTE Band 12/17 DL (Lower 700)
746000000,756000000,NFM,12500,#cc55ff,LTE Band 13 DL (Upper 700 Verizon)
758000000,768000000,NFM,12500,#ff6666,LTE Band 14 DL (FirstNet)
777000000,787000000,NFM,12500,#e066ff,LTE Band 13 UL (Upper 700 Verizon)
788000000,798000000,NFM,12500,#cc55ff,LTE Band 14 UL (FirstNet)
806000000,824000000,NFM,12500,#ff6666,800 MHz Public Safety
824000000,849000000,NFM,12500,#e066ff,LTE Band 5/26 UL (850 MHz)
851000000,869000000,NFM,12500,#ff6666,800 MHz Public Safety
869000000,894000000,NFM,12500,#cc55ff,LTE Band 5/26 DL (850 MHz)
896000000,902000000,NFM,12500,#ff6666,900 MHz SMR
902000000,928000000,NFM,10,#009470,33cm Ham Band
928000000,932000000,NFM,12500,#888888,Paging
932000000,935000000,NFM,12500,#888888,Fixed Microwave
935000000,940000000,NFM,12500,#888888,Fixed Microwave
940000000,941000000,NFM,12500,#888888,Paging
960000000,1215000000,USB,10,#c05017,Aeronautical Radionavigation
1215000000,1240000000,USB,10,#e9eb7c,Radionavigation Satellite
1215600000,1239600000,NFM,10,#00ffff,GPS L2
1240000000,1300000000,NFM,10,#009470,23cm Ham Band
1300000000,1350000000,USB,10,#c05017,Aeronautical Radionavigation
1375050000,1387050000,NFM,10,#00ffff,GPS L3
1525000000,1559000000,NFM,12500,#cc9900,Mobile Satellite
1559000000,1626500000,USB,10,#c05017,Aeronautical Radionavigation
1559000000,1610000000,USB,10,#e9eb7c,Radionavigation Satellite (Space to Earth)
1559000000,1610000000,NFM,10,#00ffff,GPS/GNSS L1
1610000000,1618725000,NFM,12500,#cc9900,Iridium Uplink
1618725000,1626500000,NFM,12500,#cc9900,Iridium Downlink
1670000000,1675000000,NFM,12500,#cc9900,GOES Weather Sat
1695000000,1710000000,NFM,12500,#e066ff,LTE Band 66 AWS-3 DL
1710000000,1755000000,NFM,12500,#cc55ff,LTE Band 4/66 UL (AWS)
1755000000,1780000000,NFM,12500,#e066ff,LTE Band 66 UL Ext (AWS-3)
1850000000,1910000000,NFM,12500,#cc55ff,LTE Band 2/25 UL (PCS)
1910000000,1915000000,NFM,12500,#e066ff,LTE Band 25 UL Ext (PCS G)
1930000000,1990000000,NFM,12500,#cc55ff,LTE Band 2 DL (PCS)
1990000000,1995000000,NFM,12500,#e066ff,LTE Band 25 DL Ext (PCS G)
2110000000,2155000000,NFM,12500,#cc55ff,LTE Band 4 DL (AWS-1)
2155000000,2180000000,NFM,12500,#e066ff,LTE Band 66 DL Ext (AWS-3)
2180000000,2200000000,NFM,12500,#cc9900,Mobile Satellite
2200000000,2290000000,NFM,12500,#888888,NASA Deep Space
2300000000,2310000000,NFM,10,#009470,GHz Ham Band
2305000000,2315000000,NFM,12500,#e066ff,LTE Band 30 UL (WCS)
2350000000,2360000000,NFM,12500,#cc55ff,LTE Band 30 DL (WCS)
2390000000,2450000000,NFM,10,#009470,GHz Ham Band
2400000000,2483500000,NFM,12500,#00ccff,ISM 2.4 GHz (WiFi)
2401000000,2423000000,NFM,12500,#00ccff,WiFi Ch 1 (2412)
2426000000,2448000000,NFM,12500,#ff9933,WiFi Ch 6 (2437)
2451000000,2473000000,NFM,12500,#00ccff,WiFi Ch 11 (2462)
2483500000,2500000000,NFM,12500,#cc9900,Mobile Satellite
2496000000,2690000000,NFM,12500,#e066ff,LTE Band 41 TDD (2.5 GHz)
2700000000,2900000000,NFM,12500,#c05017,Radar (Airport)
2700000000,2900000000,USB,10,#c05017,Aeronautical Radionavigation
2900000000,3100000000,USB,10,#4c8e75,Maritime Radionavigation
3100000000,3300000000,NFM,12500,#c05017,Radar
3300000000,3500000000,NFM,10,#009470,GHz Ham Band
3450000000,3550000000,NFM,12500,#66ccff,CBRS GAA (Pre-Auction)
3500000000,3650000000,USB,10,#c05017,Aeronautical Radionavigation (Ground)
3550000000,3560000000,NFM,12500,#66ccff,CBRS Ch 1 (LTE B48)
3560000000,3570000000,NFM,12500,#99ddff,CBRS Ch 2 (LTE B48)
3570000000,3580000000,NFM,12500,#66ccff,CBRS Ch 3 (LTE B48)
3580000000,3590000000,NFM,12500,#99ddff,CBRS Ch 4 (LTE B48)
3590000000,3600000000,NFM,12500,#66ccff,CBRS Ch 5 (LTE B48)
3600000000,3610000000,NFM,12500,#99ddff,CBRS Ch 6 (LTE B48)
3610000000,3620000000,NFM,12500,#66ccff,CBRS Ch 7 (LTE B48)
3620000000,3630000000,NFM,12500,#99ddff,CBRS Ch 8 (LTE B48)
3630000000,3640000000,NFM,12500,#66ccff,CBRS Ch 9 (LTE B48)
3640000000,3650000000,NFM,12500,#99ddff,CBRS Ch 10 (LTE B48)
3650000000,3660000000,NFM,12500,#66ccff,CBRS Ch 11 (LTE B48)
3660000000,3670000000,NFM,12500,#99ddff,CBRS Ch 12 (LTE B48)
3670000000,3680000000,NFM,12500,#66ccff,CBRS Ch 13 (LTE B48)
3680000000,3690000000,NFM,12500,#99ddff,CBRS Ch 14 (LTE B48)
3690000000,3700000000,NFM,12500,#66ccff,CBRS Ch 15 (LTE B48)
3700000000,4200000000,NFM,12500,#e066ff,5G NR n77/n78 (C-Band)
4200000000,4400000000,USB,10,#c05017,Aeronautical Radionavigation
4400000000,4940000000,NFM,12500,#888888,Fixed/Military
4940000000,4990000000,NFM,12500,#ff6666,Public Safety 4.9 GHz
5000000000,5250000000,USB,10,#c05017,Aeronautical Radionavigation
5150000000,5250000000,NFM,12500,#00ccff,U-NII 1 (WiFi 5 Low)
5250000000,5350000000,NFM,12500,#66ccff,U-NII 2A (WiFi 5)
5350000000,5460000000,USB,10,#c05017,Aeronautical Radionavigation
5350000000,5470000000,NFM,12500,#c05017,Radar
5460000000,5470000000,USB,10,#aabd26,Radionavigation
5470000000,5650000000,USB,10,#4c8e75,Maritime Radionavigation
5470000000,5725000000,NFM,12500,#66ccff,U-NII 2C/3 (WiFi 5)
5650000000,5925000000,NFM,10,#009470,GHz Ham Band
5850000000,5925000000,NFM,12500,#ffcc00,DSRC/C-V2X
5925000000,6425000000,NFM,12500,#33ddff,U-NII 5-7 (WiFi 6E)
6425000000,7125000000,NFM,12500,#ff9933,U-NII 8 (WiFi 6E)
9000000000,9200000000,USB,10,#c05017,Aeronautical Radionavigation
9200000000,9300000000,USB,10,#4c8e75,Maritime Radionavigation
9300000000,9500000000,USB,10,#aabd26,Radionavigation
10000000000,10500000000,NFM,10,#009470,GHz Ham Band
13250000000,13400000000,USB,10,#c05017,Aeronautical Radionavigation
14000000000,14200000000,USB,10,#aabd26,Radionavigation
15400000000,15700000000,USB,10,#c05017,Aeronautical Radionavigation
24000000000,24250000000,NFM,10,#009470,GHz Ham Band
24450000000,24650000000,USB,10,#aabd26,Radionavigation
24750000000,25050000000,USB,10,#aabd26,Radionavigation
31800000000,33400000000,USB,10,#aabd26,Radionavigation
45500000000,47000000000,USB,10,#e9eb7c,Radionavigation Satellite
47000000000,47200000000,NFM,10,#009470,GHz Ham Band
66000000000,71000000000,USB,10,#e9eb7c,Radionavigation Satellite
66000000000,71000000000,USB,10,#aabd26,Radionavigation
77000000000,81000000000,NFM,10,#009470,GHz Ham Band
95000000000,100000000000,USB,10,#e9eb7c,Radionavigation Satellite
95000000000,100000000000,USB,10,#aabd26,Radionavigation
122250000000,123000000000,NFM,10,#009470,GHz Ham Band
134000000000,142000000000,USB,10,#e9eb7c,Radionavigation Satellite
134000000000,141000000000,NFM,10,#009470,GHz Ham Band
134000000000,142000000000,USB,10,#aabd26,Radionavigation
190000000000,200000000000,USB,10,#e9eb7c,Radionavigation Satellite
190000000000,200000000000,USB,10,#aabd26,Radionavigation
241000000000,250000000000,NFM,10,#009470,GHz Ham Band
252000000000,265000000000,USB,10,#aabd26,Radionavigation
252000000000,265000000000,USB,10,#e9eb7c,Radionavigation Satellite
